fraction,gs,fes,gap,num_qubits
0.0,-3.0,-1.0,2.0,3
0.02,-2.9471,-0.987,1.9601,3
0.04,-2.8942,-0.9742,1.92,3
0.06,-2.8415,-0.9614,1.8801,3
0.08,-2.7889,-0.9488,1.8401,3
0.1,-2.7365,-0.9362,1.8003,3
0.12,-2.6842,-0.9238,1.7604,3
0.14,-2.6321,-0.9116,1.7205,3
0.16,-2.5801,-0.8994,1.6807,3
0.18,-2.5283,-0.8874,1.6409,3
0.2,-2.4767,-0.8756,1.6011,3
0.22,-2.4253,-0.864,1.5613,3
0.24,-2.3742,-0.8525,1.5217,3
0.26,-2.3233,-0.8413,1.482,3
0.28,-2.2726,-0.8302,1.4424,3
0.3,-2.2222,-0.8194,1.4028,3
0.32,-2.1721,-0.8088,1.3633,3
0.34,-2.1224,-0.7986,1.3238,3
0.36,-2.073,-0.7886,1.2844,3
0.38,-2.024,-0.7789,1.2451,3
0.4,-1.9754,-0.7696,1.2058,3
0.42,-1.9273,-0.7606,1.1667,3
0.44,-1.8796,-0.7521,1.1275,3
0.46,-1.8325,-0.744,1.0885,3
0.48,-1.786,-0.7363,1.0497,3
0.5,-1.7401,-0.7292,1.0109,3
0.52,-1.6949,-0.7227,0.9722,3
0.54,-1.6505,-0.7168,0.9337,3
0.56,-1.607,-0.7115,0.8955,3
0.58,-1.5644,-0.707,0.8574,3
0.6,-1.5227,-0.7033,0.8194,3
0.62,-1.4822,-0.7004,0.7818,3
0.64,-1.4429,-0.6984,0.7445,3
0.66,-1.405,-0.6975,0.7075,3
0.68,-1.3686,-0.6976,0.671,3
0.7000000000000001,-1.3337,-0.6989,0.6348,3
0.72,-1.3007,-0.7015,0.5992,3
0.74,-1.2696,-0.7053,0.5643,3
0.76,-1.2407,-0.7106,0.5301,3
0.78,-1.2141,-0.7172,0.4969,3
0.8,-1.1903,-0.7254,0.4649,3
0.8200000000000001,-1.1693,-0.7351,0.4342,3
0.84,-1.1516,-0.7463,0.4053,3
0.86,-1.1374,-0.759,0.3784,3
0.88,-1.1272,-0.773,0.3542,3
0.9,-1.1214,-0.7882,0.3332,3
0.92,-1.1203,-0.8044,0.3159,3
0.9400000000000001,-1.1244,-0.8213,0.3031,3
0.96,-1.1339,-0.8386,0.2953,3
0.98,-1.149,-0.8561,0.2929,3
1.0,-1.1697,-0.8736,0.2961,3
